tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2011-D063,Davis Cup G2 PO: ESA vs AHO,Clay,4,D,20110708,2,105656,,,Marcelo Arevalo,R,,ESA,20.7118412047,837.0,13.0,103630,,,Martijn Van Haasteren,R,,AHO,30.8062970568,,,6-1 5-7 6-2 7-6(4),5,RR,,,,,,,,,,,,,,,,,,,
2011-D063,Davis Cup G2 PO: ESA vs AHO,Clay,4,D,20110708,3,104996,,,Alexander Blom,U,,AHO,23.8795345654,,,105656,,,Marcelo Arevalo,R,,ESA,20.7118412047,837.0,13.0,6-4 6-4 3-6 3-6 6-3,5,RR,,,,,,,,,,,,,,,,,,,
2011-D063,Davis Cup G2 PO: ESA vs AHO,Clay,4,D,20110708,4,104763,,,Rafael Arevalo,U,,ESA,24.9993155373,1311.0,2.0,103630,,,Martijn Van Haasteren,R,,AHO,30.8062970568,,,6-4 6-2 6-1,5,RR,,,,,,,,,,,,,,,,,,,
2011-D064,Davis Cup G2 PO: PUR vs HAI,Hard,4,D,20110708,1,108764,,,Chris Brandi,U,,PUR,28.657084188900000,,,108767,,,Gonzales Austin,U,,HAI,18.658453114300000,,,6-3 6-4 6-1,5,RR,,,,,,,,,,,,,,,,,,,
2011-D064,Davis Cup G2 PO: PUR vs HAI,Hard,4,D,20110708,2,108768,,,Gabriel Flores Ruiz,U,,PUR,19.3730321697,,,104863,,,Olivier Sajous,R,,HAI,24.4106776181,516.0,57.0,6-4 4-6 6-1 6-4,5,RR,,,,,,,,,,,,,,,,,,,
2011-D064,Davis Cup G2 PO: PUR vs HAI,Hard,4,D,20110708,3,108764,,,Chris Brandi,U,,PUR,28.657084188900000,,,108769,,,Johann Coles,U,,HAI,20.9609856263,,,6-4 6-3,3,RR,,,,,,,,,,,,,,,,,,,
2011-D064,Davis Cup G2 PO: PUR vs HAI,Hard,4,D,20110708,4,108767,,,Gonzales Austin,U,,HAI,18.658453114300000,,,108768,,,Gabriel Flores Ruiz,U,,PUR,19.3730321697,,,7-6(6) 7-6(5),3,RR,,,,,,,,,,,,,,,,,,,
2011-D065,Davis Cup G2 R2: KOR vs PAK,Hard,4,D,20110708,1,103682,,,Kyu Tae Im,R,185.0,KOR,30.4887063655,477.0,66.0,103499,,,Aqeel Khan,R,,PAK,31.425051334700000,,,6-2 6-4 6-2,5,RR,,,,,,,,,,,,,,,,,,,
2011-D065,Davis Cup G2 R2: KOR vs PAK,Hard,4,D,20110708,2,105790,,,Yong Kyu Lim,U,,KOR,20.0438056126,420.0,86.0,103529,,,Aisam Ul Haq Qureshi,R,183.0,PAK,31.2963723477,,,6-2 5-7 6-4 3-6 6-3,5,RR,,,,,,,,,,,,,,,,,,,
2011-D065,Davis Cup G2 R2: KOR vs PAK,Hard,4,D,20110708,3,103514,,,Young Jun Kim,R,,KOR,31.3593429158,454.0,73.0,108982,,,Yasir Khan,U,,PAK,22.203969883600000,,,6-0 6-0,3,RR,,,,,,,,,,,,,,,,,,,
2011-D066,Davis Cup G2 R2: THA vs INA,Hard,4,D,20110708,1,105464,,,Christopher Rungkat,R,,INA,21.4674880219,478.0,66.0,105579,,,Kittipong Wachiramanowong,R,183.0,THA,21.0239561944,534.0,53.0,6-2 7-6(3) 6-0,5,RR,,,,,,,,,,,,,,,,,,,
2011-D066,Davis Cup G2 R2: THA vs INA,Hard,4,D,20110708,2,103821,,,Danai Udomchoke,R,173.0,THA,29.8945927447,216.0,234.0,105009,,,Elbert Sie,R,,INA,23.8247775496,1189.0,4.0,6-1 6-1 6-0,5,RR,,,,,,,,,,,,,,,,,,,
2011-D066,Davis Cup G2 R2: THA vs INA,Hard,4,D,20110708,3,103821,,,Danai Udomchoke,R,173.0,THA,29.8945927447,216.0,234.0,105464,,,Christopher Rungkat,R,,INA,21.4674880219,478.0,66.0,6-4 6-2 6-1,5,RR,,,,,,,,,,,,,,,,,,,
2011-D066,Davis Cup G2 R2: THA vs INA,Hard,4,D,20110708,4,105579,,,Kittipong Wachiramanowong,R,183.0,THA,21.0239561944,534.0,53.0,105009,,,Elbert Sie,R,,INA,23.8247775496,1189.0,4.0,6-7(4) 7-5 RET,5,RR,,,,,,,,,,,,,,,,,,,
2011-D067,Davis Cup G2 PO: HKG vs SYR,Hard,4,D,20110708,1,108770,,,Nicholas Sayer,U,,HKG,19.197809719400000,,,105372,,,Issam Al Tawil,R,,SYR,21.9822039699,1063.0,6.0,6-4 3-6 5-7 6-1 6-3,5,RR,,,,,,,,,,,,,,,,,,,
2011-D067,Davis Cup G2 PO: HKG vs SYR,Hard,4,D,20110708,2,104299,,,Hiu Tung Yu,U,,HKG,27.40862423,,,105201,,,Marc Abdulnour,U,,SYR,22.893908282000000,860.0,12.0,6-2 6-4 6-3,5,RR,,,,,,,,,,,,,,,,,,,
2011-D067,Davis Cup G2 PO: HKG vs SYR,Hard,4,D,20110708,3,105773,,,Bruno Abdel Nour,U,,SYR,20.1478439425,1135.0,4.0,108770,,,Nicholas Sayer,U,,HKG,19.197809719400000,,,6-2 6-0,3,RR,,,,,,,,,,,,,,,,,,,
2011-D067,Davis Cup G2 PO: HKG vs SYR,Hard,4,D,20110708,4,103043,,,Coenie Van Wyk,R,,RSA,33.839835729,,,108771,,,Romain Radwan,U,,SYR,29.0841889117,,,6-1 6-4,3,RR,,,,,,,,,,,,,,,,,,,
2011-D068,Davis Cup G2 PO: POC vs IRI,Hard,4,D,20110708,1,108947,,,West Nott,U,,MHL,29.070499657800000,,,105566,,,Shahin Khaledan,U,,IRI,21.0732375086,1089.0,5.0,6-1 6-4 6-2,5,RR,,,,,,,,,,,,,,,,,,,
2011-D068,Davis Cup G2 PO: POC vs IRI,Hard,4,D,20110708,2,104702,,,Michael Leong,U,,SOL,25.2950034223,,,104236,,,Rouzbeh Kamran,U,,IRI,27.832991102000000,1793.0,1.0,1-6 6-3 6-4 6-4,5,RR,,,,,,,,,,,,,,,,,,,
2011-D068,Davis Cup G2 PO: POC vs IRI,Hard,4,D,20110708,3,105566,,,Shahin Khaledan,U,,IRI,21.0732375086,1089.0,5.0,108740,,,Cyril Jacobe,U,,VAN,28.2600958248,,,6-4 6-4,3,RR,,,,,,,,,,,,,,,,,,,
2011-D068,Davis Cup G2 PO: POC vs IRI,Hard,4,D,20110708,4,108947,,,West Nott,U,,MHL,29.070499657800000,,,104236,,,Rouzbeh Kamran,U,,IRI,27.832991102000000,1793.0,1.0,6-3 6-4,3,RR,,,,,,,,,,,,,,,,,,,
